(49253871158559,578113)
(49253871161536,581104)
(49253871164513,582810)
(49253871167490,584125)
(49253871170467,586141)
(49253871173444,591117)
(49253871176421,593137)
(49253871179398,594102)
(49253871182375,595800)
(49253871188329,609785)
(49253871191306,609791)
(49253871194283,612795)
(49253871197260,613801)
(49253871200237,616123)
(49253871203214,634780)
(49253871206191,638119)
(49253871209168,641790)
(49253871212145,648807)
(49253871215122,652782)
(49253871218099,669542)
(49253871221076,670447)
(49253871224053,670533)
(49253871227030,671303)
(49253871230007,672482)
(49253871232984,672629)
(49253871235961,677393)
(49536779120250,375028)
(49536779124495,375029)
(49536779128740,375030)
(49536779132985,375031)
(49536779137230,375032)
(49672563267900,162040)
(49672563272718,66156)
(49672563273264,66234)
(50620995492869,83372)
(50623570700877,321322)
(50623570701423,133223)
(50623570704829,221333)
(50623570708235,232123)
(50623570711641,25771)
(50623570715047,25772)
(50623570718453,25773)
(50623570721859,25774)
(50623570725265,25717)
(50623570728671,27717)
(50623570732077,26767)
(50751996152067,712038)
(50751996155216,712043)
(50751996158365,712044)
(50751996161514,713038)
(50751996164663,713043)
(50751996167812,713044)
(50751996170961,714038)
(50951385405307,143568)
(51389593170285,398890)
(51389593176726,754719)
(51389593183167,491974)
(51389593189608,632684)
(51389593196049,613652)
(51389593202490,607555)
(51650694888021,747802)
(51650694893021,747801)
(51650694898021,344685)
(51650694898567,344686)
(51650694908021,375564)
(51650694908567,375565)
(51650694911687,375566)
(51650951227207,77960)
(51650951229808,77961)
(51650951232409,77962)
(51650951235010,77963)
(51886112315004,861775)
(52141220720826,460527)
(52141220725893,460528)
(52141220730960,460529)
(52141220736027,460530)
(52141220741094,460531)
(52141220746161,460532)
(52141220751228,461522)
(52141220756295,461523)
(52141220761362,461524)
(52141220766429,461525)
(52141220771496,461526)
(52141220776563,461527)
(52141220781630,461528)
(52141220786697,461529)
(52141220791764,461530)
(52141220796831,461531)
(52141220801898,461532)
(52141220806965,462522)
(52141220812032,462523)
(52141220817099,462524)
(52141220822166,462525)
(52141220827233,462526)
(52141220832300,462527)
(52141220837367,462528)
(52141220842434,462529)
(52141220847501,462530)
(52141220852568,462531)
(52141220857635,462532)
(52141221011022,426800)
(52141221018144,426801)
(52141221025266,426802)
(52283293657636,20030)
(52415104950388,402229)
(52552199509784,312077)
(52756640752617,27926)
(52756640771810,343607)
(52756640775096,343616)
(52756640778382,343617)
(52756640781668,343667)
(52946762515172,800117)
(53563278762294,87795)
(53563278762840,87067)
(53563278834194,103500)
(53563278834740,104500)
(53563278837288,106500)
(53563278839836,107500)
(53563278842384,109500)
(53563278844932,110500)
(53563278865194,446498)
(53563278865740,447498)
(53563278868288,448498)
(53563278870836,449498)
(53563278873384,451498)
(53563278875932,452498)
(53563278878480,453498)
(53563278881028,455498)
(53563278883576,456498)
(53563278886124,457498)
(53563278888672,459498)
(53563278910294,473498)
(53563278910840,474498)
(53563278921294,513498)
(53563278921840,517498)
(53563278924531,518498)
(53563278927222,519498)
(53563278929913,520498)
(53563278932604,521498)
(53563278935295,522498)
(53563278937986,524498)
(53563278940677,525498)
(53563278943368,526498)
(53563278946059,527498)
(53625351707559,477323)
(53625351710160,477324)
(53625351712761,477325)
(53625351715362,477326)
(53625351717963,477327)
(53625351720564,478323)
(53625351723165,478324)
(53625351725766,478325)
(53625351728367,478326)
(53625351730968,478327)
(53625351733569,479323)
(53625351736170,479324)
(53625351738771,479325)
(53625351741372,479326)
(53625351743973,479327)
(53625351778470,255335)
(53625351780660,255336)
(53625351782850,255337)
(53625351785040,256335)
(53625351787230,256336)
(53667950595333,52791)
(53667950600535,52793)
(53667950605737,53792)
(53667950610939,54791)
(53667952085379,107070)
(53667952087980,160682)
(53667952094833,177117)
(53667952097571,211311)
(53667952138303,119015)
(53841514390795,515139)
(54261223130913,421419)
(54261223131459,431429)
(54261223133577,441439)
(54261223135695,451449)
(54261223137813,461459)
(54285100787238,94401)
(55224804968235,42144)
(55642092415783,326834)
(55642092423739,326841)
(55642092449447,320845)
(55642092449993,326840)
(55642092467347,313853)
(55642092467893,313854)
(55642092471013,313855)
(55642092474133,313856)
(55642092477253,313857)
(55642092480373,313858)
(55642092483493,313859)
(55642092501447,318842)
(55642092501993,318843)
(55642092504684,318844)
(55642092507375,318845)
(55642092510066,318846)
(55642092512757,318839)
(55642092515448,317838)
(55709606588673,317156)
(55709606599673,426999)
(55709606600219,427000)
(55709606603909,427001)
(55709606607599,427002)
(55709606611289,427999)
(55709606614979,428000)
(55709606618669,428001)
(55709606622359,428002)
(55709606654673,428999)
(55709606655219,429000)
(55709606658254,429001)
(55709606661289,429002)
(55709606678673,421003)
(55709606679219,421004)
(55709606682254,421005)
(55709606685289,421006)
(55709606688324,422003)
(55709606691359,422004)
(55709606694394,422005)
(55709606697429,422006)
(55709606700464,423003)
(55709606703499,423004)
(55709606706534,423005)
(55709606709569,423006)
(55709606712604,424003)
(55709606715639,424004)
(55709606718674,424005)
(55709606721709,424006)
(55709606780673,472006)
(55709606781219,472007)
(55709606784909,473006)
(55709606788599,473007)
(55709606807673,455064)
(55709606808219,460064)
(55709606820673,430075)
(55709606821219,430076)
(55709606824647,430077)
(55709606828075,430078)
(55709606831503,431075)
(55709606834931,431076)
(55709606838359,431077)
(55709606841787,431078)
(55709606872673,740097)
(55709606878673,727125)
(55709606879219,728126)
(55709606882647,729127)
(55709606897673,730128)
(56042377789971,799248)
(56603348008867,723848)
(56603348019867,723849)
(56603348030867,739826)
(56603348041867,739827)
(56603348055867,739828)
(56603348065867,739829)
(56603348074867,739830)
(56603348083867,735702)
(56603348090867,735703)
(56603348096867,735704)
(56603348103867,735705)
(56603348110867,735706)
(56603348117867,609682)
(56603348124867,609683)
(56603348131867,609684)
